val,status,message
234201556787,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201548726,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201738922,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201545699,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201744100,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201644733,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201537098,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201588507,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201584524,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201549139,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201549274,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201654030,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201552468,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201552380,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201555935,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201594797,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201610806,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201662162,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201699251,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201613518,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201606100,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201550081,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201627326,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
234201693983,SUCCESS,Sukses: Data berhasil dikirimkan ke BPS!
